model,dataset,dataset_path,method,budget,n_sink,context_len,target_len,token_offset,num_eval_windows,window_offsets,position_mode,ppl,window_ppls,ttft_s,prefill_time_s,tpot_ms,throughput_tok_s,peak_mem_mb,prefill_cache_len,final_cache_len,prefill_cache_len_layer0,prefill_cache_len_avg,prefill_cache_len_min,prefill_cache_len_max,prefill_cache_lens,final_cache_len_layer0,final_cache_len_avg,final_cache_len_min,final_cache_len_max,final_cache_lens
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,baseline,0,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.16314463423815,"[7.924786, 8.53902, 7.2594, 8.843704, 8.343668]",0.11686007305979729,0.11686007305979729,19.440674197125578,51.86152784746778,14275.5751953125,1536,2047,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",2047,2047.0,2047,2047,"[2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,wikitext,data/WikiText-2/test.txt,baseline,0,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,9.918465185491797,"[11.441791, 13.578026, 11.943437, 6.626423, 7.806983]",0.2055039770901203,0.2055039770901203,18.66908190651649,53.65917698107537,14275.5751953125,1536,2047,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",2047,2047.0,2047,2047,"[2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_prefill,256,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.814265682488273,"[8.204109, 9.519454, 7.860227, 9.474469, 9.147392]",0.13170309886336326,0.13170309886336326,17.87479351732129,56.2882038324767,13625.5048828125,256,767,256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",767,767.0,767,767,"[767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_prefill,512,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.655212568539586,"[8.169047, 9.338777, 7.517592, 9.406924, 9.003282]",0.13650768995285034,0.13650768995285034,16.50813291771538,60.7269906867045,13755.4267578125,512,1023,512,512.0,512,512,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]",1023,1023.0,1023,1023,"[1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_prefill,768,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.455737986248126,"[7.986499, 9.162934, 7.441935, 8.882514, 8.936035]",0.14544293656945229,0.14544293656945229,16.088113844861258,62.19240868685146,13885.2080078125,768,1279,768,768.0,768,768,"[768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768]",1279,1279.0,1279,1279,"[1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_prefill,1024,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.341262143998556,"[7.94656, 8.629119, 7.424377, 8.872899, 8.938974]",0.13898478373885154,0.13898478373885154,17.46548609024391,57.60878837710375,14015.5517578125,1024,1535,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",1535,1535.0,1535,1535,"[1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_online,256,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,9.123082880053564,"[8.60284, 9.709171, 8.153811, 9.978876, 9.299119]",0.2547727398574352,0.2547727398574352,17.69967393807469,56.5120562102878,13375.4072265625,256,256,256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_online,512,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.814211643344207,"[8.182506, 9.394029, 7.793738, 9.647611, 9.204783]",0.16399305909872056,0.16399305909872056,17.742361435976512,56.363742811459744,13503.4072265625,512,512,512,512.0,512,512,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]",512,512.0,512,512,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_online,768,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.57832154785793,"[8.135845, 9.358594, 7.549984, 9.023151, 8.955588]",0.16108198836445808,0.16108198836445808,17.748021841807375,56.34854393184354,13631.5517578125,768,768,768,768.0,768,768,"[768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768]",768,768.0,768,768,"[768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_online,1024,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.45026703072898,"[7.998342, 8.935875, 7.417161, 9.073207, 8.958113]",0.1207441583275795,0.1207441583275795,18.712999285317217,53.43922628485336,13763.5517578125,1024,1024,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_decode_only,256,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,9.113522584216529,"[8.588409, 9.639606, 8.161992, 9.983243, 9.319477]",0.138266359269619,0.138266359269619,17.55590239383003,56.96313779887805,14015.47900390625,1536,256,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_decode_only,512,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.806292563325501,"[8.191014, 9.367749, 7.797569, 9.644513, 9.178107]",0.1878711126744747,0.1878711126744747,17.580937409004356,56.8856524995007,14015.47900390625,1536,512,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",512,512.0,512,512,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_decode_only,768,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.57276626383684,"[8.125036, 9.350907, 7.559226, 8.999321, 8.958573]",0.12187085449695587,0.12187085449695587,17.75543778522374,56.32267162171782,14015.47900390625,1536,768,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",768,768.0,768,768,"[768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_decode_only,1024,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,8.443287262968411,"[8.00612, 8.95974, 7.405004, 9.045065, 8.931066]",0.2518100507557392,0.2518100507557392,18.57034287282399,53.85101787452555,14019.44775390625,1536,1024,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_prefill,256,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,10.22668086440758,"[9.8132, 11.341152, 9.634193, 10.956974, 9.521376]",0.5187111720442772,0.5187111720442772,16.648623999025958,60.55353635504055,13625.4658203125,256,767,256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",767,767.0,767,767,"[767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_prefill,512,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,11.715241209318636,"[11.512238, 11.576563, 10.826233, 13.612842, 11.235453]",0.238136225938797,0.238136225938797,15.673635159336659,63.81983895543467,13755.4267578125,512,1023,512,512.0,512,512,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]",1023,1023.0,1023,1023,"[1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_prefill,768,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,11.086064435558294,"[11.030908, 11.151643, 10.369667, 11.819889, 11.106026]",0.145103295147419,0.145103295147419,17.456072848836968,57.613620426837336,13885.2080078125,768,1279,768,768.0,768,768,"[768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768]",1279,1279.0,1279,1279,"[1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_prefill,1024,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,10.716038545866613,"[10.52158, 10.995692, 9.605612, 11.742065, 10.829249]",0.12423360198736191,0.12423360198736191,18.794223782834244,53.79923967333859,14015.5517578125,1024,1535,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",1535,1535.0,1535,1535,"[1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_online,256,4,1536,512,0,5,"[0, 2048, 4096, 6144, 8192]",absolute,505.2797689428133,"[533.84959, 356.234532, 456.377514, 657.571257, 577.082041]",0.23958876654505729,0.23958876654505729,21.017104374160972,47.61336338572175,13375.4072265625,256,256,256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]"
