model,dataset,dataset_path,method,budget,n_sink,context_len,target_len,token_offset,position_mode,ppl,ttft_s,prefill_time_s,tpot_ms,throughput_tok_s,peak_mem_mb,prefill_cache_len,final_cache_len,prefill_cache_len_layer0,prefill_cache_len_avg,prefill_cache_len_min,prefill_cache_len_max,prefill_cache_lens,final_cache_len_layer0,final_cache_len_avg,final_cache_len_min,final_cache_len_max,final_cache_lens
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,baseline,0,4,1536,512,0,absolute,7.924785872105734,0.11701101809740067,0.11701101809740067,19.000203962895267,52.63101395926379,14275.5751953125,1536,2047,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",2047,2047.0,2047,2047,"[2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,wikitext,data/WikiText-2/test.txt,baseline,0,4,1536,512,0,absolute,11.441790739971161,0.2142920047044754,0.2142920047044754,17.406333915874683,57.45035139697015,14275.5751953125,1536,2047,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",2047,2047.0,2047,2047,"[2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047, 2047]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_prefill,256,4,1536,512,0,absolute,8.204108954887088,2.53111457452178,2.53111457452178,18.064569988071103,55.35697781128185,13625.5048828125,256,767,256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",767,767.0,767,767,"[767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767, 767]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_prefill,512,4,1536,512,0,absolute,8.169046950841388,0.11901222169399261,0.11901222169399261,18.132197909392488,55.15051208888468,13755.4267578125,512,1023,512,512.0,512,512,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]",1023,1023.0,1023,1023,"[1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_prefill,768,4,1536,512,0,absolute,7.986499020395652,0.11887886375188828,0.11887886375188828,16.423134902335427,60.88971478020293,13885.2080078125,768,1279,768,768.0,768,768,"[768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768]",1279,1279.0,1279,1279,"[1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279, 1279]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_prefill,1024,4,1536,512,0,absolute,7.946560007830721,0.1218901015818119,0.1218901015818119,16.12000337231416,62.034726476390425,14015.5517578125,1024,1535,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",1535,1535.0,1535,1535,"[1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535, 1535]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_online,256,4,1536,512,0,absolute,8.60283995340034,0.12075688317418098,0.12075688317418098,17.638031553673883,56.69566906924524,13375.4072265625,256,256,256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_online,512,4,1536,512,0,absolute,8.182505936395547,0.22178949788212776,0.22178949788212776,17.59231081068399,56.84301572211251,13503.4072265625,512,512,512,512.0,512,512,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]",512,512.0,512,512,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_online,768,4,1536,512,0,absolute,8.135845216767935,0.11949025467038155,0.11949025467038155,17.783663248362608,56.23138416614321,13631.5517578125,768,768,768,768.0,768,768,"[768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768]",768,768.0,768,768,"[768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768, 768]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_online,1024,4,1536,512,0,absolute,7.99834242621943,0.12332261353731155,0.12332261353731155,18.480289158814106,54.11170742006781,13763.5517578125,1024,1024,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]"
/home/ma-user/work/Efficient-LLM-Inference-Experiment/models/pythia-6.9b,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_decode_only,256,4,1536,512,0,absolute,8.588409139475791,0.217444758862257,0.217444758862257,17.641944019761805,56.68309563162879,14015.47900390625,1536,256,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",256,256.0,256,256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256]"
